dataset_name,model_name,loss_mean,loss_std,sqrt_loss_mean,sqrt_loss_std,msll_mean,msll_std
bostonHousing,FCN,18022.90990159441,23875.78023562948,109.88706563631231,77.12160986024085,,
bostonHousing,noisyFCN,10551.414215269184,8419.05564230954,93.16178313535886,43.27004019306603,360.25885874845164,281.1851971758306
concrete,FCN,28572.4455428929,33663.41301412319,146.55508865002895,84.22619268181994,,
concrete,noisyFCN,153617.5123558859,90296.31539687346,371.06759457669267,126.19965376716831,8330.131939048071,4868.135683385764
energy,FCN,92457.32315340909,43566.50552582948,295.65085019610854,71.04856037758445,,
energy,noisyFCN,50441.306483360386,21717.712160701605,218.28904244117498,52.83181270290946,4375.530684399392,1662.4756875788385
kin8nm,FCN,0.9186468072426625,0.0075375173956539155,0.9584525734147638,0.003933415472482527,,
kin8nm,noisyFCN,0.9062481011954274,0.013042019593050631,0.9519460548148215,0.006841777395119586,8892.329547302952,436.27880468805216
power-plant,FCN,283778.4194292058,161025.3897225764,508.54503546473717,158.6201952254981,,
power-plant,noisyFCN,526195.4594239813,368482.2612767486,679.1911929872565,254.7445441859913,1334.0581041514354,864.6079907537923
protein-tertiary-structure,FCN,9064999578940.09,11262290284979.432,2239393.229151942,2012490.3836213795,,
protein-tertiary-structure,noisyFCN,847909109982.7585,890341566918.6995,771500.7033743785,502688.5463938858,298.4419675028495,400.15215441814587
wine-quality-red,FCN,181.44221786499025,51.92198180735757,13.320871805194193,1.9991478721126728,,
wine-quality-red,noisyFCN,175.84355773925782,17.907477547517278,13.243383395919176,0.6755397604509066,51558.1124749224,10732.942716146115
yacht,FCN,332.6600578061996,4.449259017517123,18.23856442389691,0.12176026265397588,,
yacht,noisyFCN,332.8095230594758,5.8409956578035445,18.242361531997258,0.16052661892183942,193303.61548455752,111466.70753556993
