,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
0,bostonHousing,FCN,32,0.1,0.001,0.01,0.01,0.01
1,bostonHousing,FCN,32,0.01,0.001,0.01,0.01,0.01
2,energy,FCN,32,0.1,0.001,0.01,0.01,0.01
3,bostonHousing,FCN,32,0.001,0.001,0.01,0.01,0.01
4,bostonHousing,FCN,32,0.0001,0.001,0.01,0.01,0.01
5,bostonHousing,FCN,32,1e-05,0.001,0.01,0.01,0.01
6,wine-quality-red,FCN,32,0.1,0.001,0.01,0.01,0.01
7,power-plant,FCN,32,0.1,0.001,0.01,0.01,0.01
8,wine-quality-red,FCN,32,0.01,0.001,0.01,0.01,0.01
9,bostonHousing,FCN,32,1e-06,0.001,0.01,0.01,0.01
10,energy,FCN,32,0.01,0.001,0.01,0.01,0.01
11,wine-quality-red,FCN,32,0.001,0.001,0.01,0.01,0.01
12,bostonHousing,FCN,32,1e-07,0.001,0.01,0.01,0.01
13,wine-quality-red,FCN,32,0.0001,0.001,0.01,0.01,0.01
14,wine-quality-red,FCN,32,1e-05,0.001,0.01,0.01,0.01
15,bostonHousing,FCN,32,1e-08,0.001,0.01,0.01,0.01
16,energy,FCN,32,0.001,0.001,0.01,0.01,0.01
17,wine-quality-red,FCN,32,1e-06,0.001,0.01,0.01,0.01
18,bostonHousing,FCN,32,1e-09,0.001,0.01,0.01,0.01
19,wine-quality-red,FCN,32,1e-07,0.001,0.01,0.01,0.01
20,bostonHousing,FCN,32,1e-10,0.001,0.01,0.01,0.01
21,energy,FCN,32,0.0001,0.001,0.01,0.01,0.01
22,wine-quality-red,FCN,32,1e-08,0.001,0.01,0.01,0.01
23,bostonHousing,FCN,32,1e-11,0.001,0.01,0.01,0.01
24,wine-quality-red,FCN,32,1e-09,0.001,0.01,0.01,0.01
25,bostonHousing,FCN,32,1e-12,0.001,0.01,0.01,0.01
26,wine-quality-red,FCN,32,1e-10,0.001,0.01,0.01,0.01
27,energy,FCN,32,1e-05,0.001,0.01,0.01,0.01
28,wine-quality-red,FCN,32,1e-11,0.001,0.01,0.01,0.01
29,wine-quality-red,FCN,32,1e-12,0.001,0.01,0.01,0.01
30,bostonHousing,FCN,32,1e-13,0.001,0.01,0.01,0.01
31,energy,FCN,32,1e-06,0.001,0.01,0.01,0.01
32,wine-quality-red,FCN,32,1e-13,0.001,0.01,0.01,0.01
33,bostonHousing,FCN,32,1e-14,0.001,0.01,0.01,0.01
34,wine-quality-red,FCN,32,1e-14,0.001,0.01,0.01,0.01
35,bostonHousing,FCN,32,1e-15,0.001,0.01,0.01,0.01
36,wine-quality-red,FCN,32,1e-15,0.001,0.01,0.01,0.01
37,energy,FCN,32,1e-07,0.001,0.01,0.01,0.01
38,bostonHousing,FCN,64,0.1,0.001,0.01,0.01,0.01
39,bostonHousing,FCN,64,0.01,0.001,0.01,0.01,0.01
40,wine-quality-red,FCN,64,0.1,0.001,0.01,0.01,0.01
41,energy,FCN,32,1e-08,0.001,0.01,0.01,0.01
42,wine-quality-red,FCN,64,0.01,0.001,0.01,0.01,0.01
43,bostonHousing,FCN,64,0.001,0.001,0.01,0.01,0.01
44,wine-quality-red,FCN,64,0.001,0.001,0.01,0.01,0.01
45,wine-quality-red,FCN,64,0.0001,0.001,0.01,0.01,0.01
46,bostonHousing,FCN,64,0.0001,0.001,0.01,0.01,0.01
47,energy,FCN,32,1e-09,0.001,0.01,0.01,0.01
48,wine-quality-red,FCN,64,1e-05,0.001,0.01,0.01,0.01
49,bostonHousing,FCN,64,1e-05,0.001,0.01,0.01,0.01
50,wine-quality-red,FCN,64,1e-06,0.001,0.01,0.01,0.01
51,wine-quality-red,FCN,64,1e-07,0.001,0.01,0.01,0.01
52,bostonHousing,FCN,64,1e-06,0.001,0.01,0.01,0.01
53,wine-quality-red,FCN,64,1e-08,0.001,0.01,0.01,0.01
54,bostonHousing,FCN,64,1e-07,0.001,0.01,0.01,0.01
55,wine-quality-red,FCN,64,1e-09,0.001,0.01,0.01,0.01
56,energy,FCN,32,1e-10,0.001,0.01,0.01,0.01
57,bostonHousing,FCN,64,1e-08,0.001,0.01,0.01,0.01
58,wine-quality-red,FCN,64,1e-10,0.001,0.01,0.01,0.01
59,bostonHousing,FCN,64,1e-09,0.001,0.01,0.01,0.01
60,wine-quality-red,FCN,64,1e-11,0.001,0.01,0.01,0.01
61,wine-quality-red,FCN,64,1e-12,0.001,0.01,0.01,0.01
62,bostonHousing,FCN,64,1e-10,0.001,0.01,0.01,0.01
63,energy,FCN,32,1e-11,0.001,0.01,0.01,0.01
64,wine-quality-red,FCN,64,1e-13,0.001,0.01,0.01,0.01
65,wine-quality-red,FCN,64,1e-14,0.001,0.01,0.01,0.01
66,bostonHousing,FCN,64,1e-11,0.001,0.01,0.01,0.01
67,wine-quality-red,FCN,64,1e-15,0.001,0.01,0.01,0.01
68,bostonHousing,FCN,64,1e-12,0.001,0.01,0.01,0.01
69,energy,FCN,32,1e-12,0.001,0.01,0.01,0.01
70,wine-quality-red,FCN,128,0.1,0.001,0.01,0.01,0.01
71,wine-quality-red,FCN,128,0.01,0.001,0.01,0.01,0.01
72,bostonHousing,FCN,64,1e-13,0.001,0.01,0.01,0.01
73,wine-quality-red,FCN,128,0.001,0.001,0.01,0.01,0.01
74,wine-quality-red,FCN,128,0.0001,0.001,0.01,0.01,0.01
75,energy,FCN,32,1e-13,0.001,0.01,0.01,0.01
76,wine-quality-red,FCN,128,1e-05,0.001,0.01,0.01,0.01
77,bostonHousing,FCN,64,1e-14,0.001,0.01,0.01,0.01
78,wine-quality-red,FCN,128,1e-06,0.001,0.01,0.01,0.01
79,wine-quality-red,FCN,128,1e-07,0.001,0.01,0.01,0.01
80,wine-quality-red,FCN,128,1e-08,0.001,0.01,0.01,0.01
81,energy,FCN,32,1e-14,0.001,0.01,0.01,0.01
82,wine-quality-red,FCN,128,1e-09,0.001,0.01,0.01,0.01
83,wine-quality-red,FCN,128,1e-10,0.001,0.01,0.01,0.01
84,bostonHousing,FCN,64,1e-15,0.001,0.01,0.01,0.01
85,wine-quality-red,FCN,128,1e-11,0.001,0.01,0.01,0.01
86,wine-quality-red,FCN,128,1e-12,0.001,0.01,0.01,0.01
87,energy,FCN,32,1e-15,0.001,0.01,0.01,0.01
88,bostonHousing,FCN,128,0.1,0.001,0.01,0.01,0.01
89,wine-quality-red,FCN,128,1e-13,0.001,0.01,0.01,0.01
90,energy,FCN,64,0.1,0.001,0.01,0.01,0.01
91,wine-quality-red,FCN,128,1e-14,0.001,0.01,0.01,0.01
92,wine-quality-red,FCN,128,1e-15,0.001,0.01,0.01,0.01
93,wine-quality-red,FCN,256,0.1,0.001,0.01,0.01,0.01
94,bostonHousing,FCN,128,0.01,0.001,0.01,0.01,0.01
95,wine-quality-red,FCN,256,0.01,0.001,0.01,0.01,0.01
96,wine-quality-red,FCN,256,0.001,0.001,0.01,0.01,0.01
97,wine-quality-red,FCN,256,0.0001,0.001,0.01,0.01,0.01
98,bostonHousing,FCN,128,0.001,0.001,0.01,0.01,0.01
99,wine-quality-red,FCN,256,1e-05,0.001,0.01,0.01,0.01
100,wine-quality-red,FCN,256,1e-06,0.001,0.01,0.01,0.01
101,bostonHousing,FCN,128,0.0001,0.001,0.01,0.01,0.01
102,wine-quality-red,FCN,256,1e-07,0.001,0.01,0.01,0.01
103,wine-quality-red,FCN,256,1e-08,0.001,0.01,0.01,0.01
104,wine-quality-red,FCN,256,1e-09,0.001,0.01,0.01,0.01
105,bostonHousing,FCN,128,1e-05,0.001,0.01,0.01,0.01
106,wine-quality-red,FCN,256,1e-10,0.001,0.01,0.01,0.01
107,wine-quality-red,FCN,256,1e-11,0.001,0.01,0.01,0.01
108,wine-quality-red,FCN,256,1e-12,0.001,0.01,0.01,0.01
109,energy,FCN,64,0.01,0.001,0.01,0.01,0.01
110,wine-quality-red,FCN,256,1e-13,0.001,0.01,0.01,0.01
111,bostonHousing,FCN,128,1e-06,0.001,0.01,0.01,0.01
112,wine-quality-red,FCN,256,1e-14,0.001,0.01,0.01,0.01
113,wine-quality-red,FCN,256,1e-15,0.001,0.01,0.01,0.01
114,bostonHousing,FCN,128,1e-07,0.001,0.01,0.01,0.01
115,energy,FCN,64,0.001,0.001,0.01,0.01,0.01
116,wine-quality-red,FCN,512,0.1,0.001,0.01,0.01,0.01
117,bostonHousing,FCN,128,1e-08,0.001,0.01,0.01,0.01
118,wine-quality-red,FCN,512,0.01,0.001,0.01,0.01,0.01
119,wine-quality-red,FCN,512,0.001,0.001,0.01,0.01,0.01
120,energy,FCN,64,0.0001,0.001,0.01,0.01,0.01
121,bostonHousing,FCN,128,1e-09,0.001,0.01,0.01,0.01
122,wine-quality-red,FCN,512,0.0001,0.001,0.01,0.01,0.01
123,wine-quality-red,FCN,512,1e-05,0.001,0.01,0.01,0.01
124,power-plant,FCN,32,0.01,0.001,0.01,0.01,0.01
125,wine-quality-red,FCN,512,1e-06,0.001,0.01,0.01,0.01
126,energy,FCN,64,1e-05,0.001,0.01,0.01,0.01
127,bostonHousing,FCN,128,1e-10,0.001,0.01,0.01,0.01
128,wine-quality-red,FCN,512,1e-07,0.001,0.01,0.01,0.01
129,wine-quality-red,FCN,512,1e-08,0.001,0.01,0.01,0.01
130,wine-quality-red,FCN,512,1e-09,0.001,0.01,0.01,0.01
131,energy,FCN,64,1e-06,0.001,0.01,0.01,0.01
132,wine-quality-red,FCN,512,1e-10,0.001,0.01,0.01,0.01
133,bostonHousing,FCN,128,1e-11,0.001,0.01,0.01,0.01
134,wine-quality-red,FCN,512,1e-11,0.001,0.01,0.01,0.01
135,energy,FCN,64,1e-07,0.001,0.01,0.01,0.01
136,wine-quality-red,FCN,512,1e-12,0.001,0.01,0.01,0.01
137,bostonHousing,FCN,128,1e-12,0.001,0.01,0.01,0.01
138,wine-quality-red,FCN,512,1e-13,0.001,0.01,0.01,0.01
139,wine-quality-red,FCN,512,1e-14,0.001,0.01,0.01,0.01
140,wine-quality-red,FCN,512,1e-15,0.001,0.01,0.01,0.01
141,energy,FCN,64,1e-08,0.001,0.01,0.01,0.01
142,bostonHousing,FCN,128,1e-13,0.001,0.01,0.01,0.01
143,energy,FCN,64,1e-09,0.001,0.01,0.01,0.01
144,bostonHousing,FCN,128,1e-14,0.001,0.01,0.01,0.01
145,bostonHousing,FCN,128,1e-15,0.001,0.01,0.01,0.01
146,energy,FCN,64,1e-10,0.001,0.01,0.01,0.01
147,bostonHousing,FCN,256,0.1,0.001,0.01,0.01,0.01
148,bostonHousing,FCN,256,0.01,0.001,0.01,0.01,0.01
149,energy,FCN,64,1e-11,0.001,0.01,0.01,0.01
150,bostonHousing,FCN,256,0.001,0.001,0.01,0.01,0.01
151,energy,FCN,64,1e-12,0.001,0.01,0.01,0.01
152,bostonHousing,FCN,256,0.0001,0.001,0.01,0.01,0.01
153,energy,FCN,64,1e-13,0.001,0.01,0.01,0.01
154,bostonHousing,FCN,256,1e-05,0.001,0.01,0.01,0.01
155,energy,FCN,64,1e-14,0.001,0.01,0.01,0.01
156,bostonHousing,FCN,256,1e-06,0.001,0.01,0.01,0.01
157,energy,FCN,64,1e-15,0.001,0.01,0.01,0.01
158,bostonHousing,FCN,256,1e-07,0.001,0.01,0.01,0.01
159,energy,FCN,128,0.1,0.001,0.01,0.01,0.01
